CULTIVOS;MEDIA-superficie;2019-superficie;2020-superficie;Variacion-100-superficie;MEDIA-produccion;2019-produccion;2020-produccion;Variacion-100-produccion
 NÍSPERO;62;66;66;100;181;222;344;155
 ALBARICOQUE;3.315;2.970;2.790;93,9;8.838;20.896;14.010;67
 CEREZA;73;87;85;97,7;140;108;114;105,6
 MELOCOTÓN (3);5.197;3.570;3.304;92,5;26.258;38.477;25.192;65,5
 CIRUELA;1.884;1.137;1.139;100,2;4.553;9.468;9.710;102,6
 GRANADA;379;672;645;96;2.318;7.132;5.894;82,6
 CAQUI;10.567;15.818;15.830;100,1;223.293;428.774;426.433;99,5
 AGUACATE;117;543;890;163,9;423;1.487;2.058;138,4
 ALMENDRA;35.861;33.437;34.256;102,4;11.159;16.296;11.524;70,7
VIÑEDO;;;;;;;;
 UVA DE MESA;436;91;180;197,8;1.013;216;221;102,3
 UVA DE VINIFICACIÓN;50.695;47.402;46.808;98,7;238.283;306.443;327.423;106,8
 VINO+MOSTO (4);;;;;2.165,20;2.341,40;2.622,80;112
OLIVAR;;;;;;;;
 OLIVO;31.315;32.045;32.197;100,5;42.365;36.798;42.998;116,8
 ACEITE DE OLIVA;;;;;8.227;6.185;8.035;129,9
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);10.144;8.801;8.724;99,1;7.932;3.923;8.098;206,4
